stock_id,symbol,isin,first_seen
1894698,CHROMATIC,,2026-09-07
9948,CIEINDIA,INE536H01010,2026-09-07
11610,CIFL,INE345H01024,2026-09-07
275,CIGNITITEC,,2026-09-07
276,CIMMCO,,2026-09-07
277,CINELINE,INE704H01022,2026-09-07
278,CINEVISTA,INE039B01026,2026-09-07
279,CIPLA,INE059A01026,2026-09-07
1770335,CKFSL,,2026-09-07
10822,CLCIND,INE376C01038,2026-09-07
10835,CLEAN,INE227W01023,2026-09-07
10626,CLEANMAX,INE647U01026,2026-09-07
280,CLEDUCATE,INE201M01029,2026-09-07
281,CLNINDIA,,2026-09-07
10141,CLSEL,INE419D01026,2026-09-07
282,CMICABLES,,2026-09-07
11492,CMLL,INE11XY01018,2026-09-07
9999,CMPDI,INE05HV01027,2026-09-07
11239,CMRGREEN,INE00WV01027,2026-09-07
10807,CMSINFO,INE925R01014,2026-09-07
9913,CNL,INE985W01018,2026-09-07
1696604,CNOVAPETRO,,2026-09-07
283,COALINDIA,INE522F01014,2026-09-07
9574,COASTCORP,INE377E01024,2026-09-07
284,COCHINSHIP,INE704P01025,2026-09-07
10548,COCKERILL,INE515A01019,2026-09-07
